"GEO_ID","H011001","H011002","H011003","H011004","NAME"
"id","Total population in occupied housing units","Total population in occupied housing units!!Owned with a mortgage or a loan","Total population in occupied housing units!!Owned free and clear","Total population in occupied housing units!!Renter occupied","Geographic Area Name"
"8600000US89010","415","93","182","140","ZCTA5 89010"
"8600000US89019","2672","1167","609","896","ZCTA5 89019"
"8600000US89060","10059","5144","2236","2679","ZCTA5 89060"
"8600000US89061","5252","2959","1051","1242","ZCTA5 89061"
"8600000US89439","1417","741","369","307","ZCTA5 89439"
"8600000US90001","57057","18516","2993","35548","ZCTA5 90001"
"8600000US90002","51091","20143","2355","28593","ZCTA5 90002"
"8600000US90003","65965","21758","2473","41734","ZCTA5 90003"
"8600000US90004","61453","9589","2125","49739","ZCTA5 90004"
"8600000US90005","37537","2918","509","34110","ZCTA5 90005"
"8600000US90006","58297","5221","1027","52049","ZCTA5 90006"
"8600000US90007","35846","4649","891","30306","ZCTA5 90007"
"8600000US90008","32193","9654","1912","20627","ZCTA5 90008"
"8600000US90010","3771","862","161","2748","ZCTA5 90010"
"8600000US90011","103430","28230","3476","71724","ZCTA5 90011"
"8600000US90012","21934","1816","789","19329","ZCTA5 90012"
"8600000US90013","8105","939","75","7091","ZCTA5 90013"
"8600000US90014","5490","299","22","5169","ZCTA5 90014"
"8600000US90015","18192","2311","277","15604","ZCTA5 90015"
"8600000US90016","47318","16560","2533","28225","ZCTA5 90016"
"8600000US90017","23587","680","77","22830","ZCTA5 90017"
"8600000US90018","48323","15350","1924","31049","ZCTA5 90018"
"8600000US90019","63137","15142","2734","45261","ZCTA5 90019"
"8600000US90020","38811","3162","534","35115","ZCTA5 90020"
"8600000US90021","2456","281","23","2152","ZCTA5 90021"
"8600000US90022","67135","20436","4848","41851","ZCTA5 90022"
"8600000US90023","45722","11155","2559","32008","ZCTA5 90023"
"8600000US90024","36281","9108","3187","23986","ZCTA5 90024"
"8600000US90025","41869","9945","2188","29736","ZCTA5 90025"
"8600000US90026","66906","12907","2942","51057","ZCTA5 90026"
"8600000US90027","43729","8408","2132","33189","ZCTA5 90027"
