"GEO_ID","H001001","NAME"
"id","Total","Geographic Area Name"
"8600000US89010","279","ZCTA5 89010"
"8600000US89019","1623","ZCTA5 89019"
"8600000US89060","4988","ZCTA5 89060"
"8600000US89061","2567","ZCTA5 89061"
"8600000US89439","718","ZCTA5 89439"
"8600000US90001","13788","ZCTA5 90001"
"8600000US90002","12598","ZCTA5 90002"
"8600000US90003","17127","ZCTA5 90003"
"8600000US90004","24278","ZCTA5 90004"
"8600000US90005","16345","ZCTA5 90005"
"8600000US90006","20332","ZCTA5 90006"
"8600000US90007","12762","ZCTA5 90007"
"8600000US90008","15006","ZCTA5 90008"
"8600000US90010","2382","ZCTA5 90010"
"8600000US90011","23547","ZCTA5 90011"
"8600000US90012","11370","ZCTA5 90012"
"8600000US90013","7516","ZCTA5 90013"
"8600000US90014","4990","ZCTA5 90014"
"8600000US90015","8245","ZCTA5 90015"
"8600000US90016","17204","ZCTA5 90016"
"8600000US90017","10610","ZCTA5 90017"
"8600000US90018","16658","ZCTA5 90018"
"8600000US90019","25116","ZCTA5 90019"
"8600000US90020","17900","ZCTA5 90020"
"8600000US90021","1761","ZCTA5 90021"
"8600000US90022","17713","ZCTA5 90022"
"8600000US90023","11259","ZCTA5 90023"
"8600000US90024","19932","ZCTA5 90024"
"8600000US90025","23058","ZCTA5 90025"
"8600000US90026","26686","ZCTA5 90026"
"8600000US90027","23390","ZCTA5 90027"
"8600000US90028","17126","ZCTA5 90028"
"8600000US90029","14723","ZCTA5 90029"
"8600000US90031","11903","ZCTA5 90031"
"8600000US90032","13521","ZCTA5 90032"
"8600000US90033","13690","ZCTA5 90033"
"8600000US90034","27210","ZCTA5 90034"
"8600000US90035","14030","ZCTA5 90035"
"8600000US90036","19920","ZCTA5 90036"
"8600000US90037","17192","ZCTA5 90037"
"8600000US90038","12812","ZCTA5 90038"
"8600000US90039","12127","ZCTA5 90039"
"8600000US90040","3397","ZCTA5 90040"
"8600000US90041","9998","ZCTA5 90041"
"8600000US90042","21018","ZCTA5 90042"
"8600000US90043","17172","ZCTA5 90043"
"8600000US90044","27479","ZCTA5 90044"
"8600000US90045","16127","ZCTA5 90045"
"8600000US90046","30688","ZCTA5 90046"
"8600000US90047","17150","ZCTA5 90047"
"8600000US90048","12939","ZCTA5 90048"
"8600000US90049","18097","ZCTA5 90049"
"8600000US90056","3518","ZCTA5 90056"
"8600000US90057","17247","ZCTA5 90057"
"8600000US90058","921","ZCTA5 90058"
"8600000US90059","10617","ZCTA5 90059"
"8600000US90061","7385","ZCTA5 90061"
"8600000US90062","9795","ZCTA5 90062"
"8600000US90063","14012","ZCTA5 90063"
"8600000US90064","11540","ZCTA5 90064"
"8600000US90065","15288","ZCTA5 90065"
"8600000US90066","25319","ZCTA5 90066"
"8600000US90067","1808","ZCTA5 90067"
"8600000US90068","13901","ZCTA5 90068"
"8600000US90069","14781","ZCTA5 90069"
"8600000US90071","0","ZCTA5 90071"
"8600000US90073","4","ZCTA5 90073"
"8600000US90077","3888","ZCTA5 90077"
"8600000US90079","0","ZCTA5 90079"
"8600000US90089","31","ZCTA5 90089"
"8600000US90090","0","ZCTA5 90090"
"8600000US90094","3168","ZCTA5 90094"
"8600000US90095","2","ZCTA5 90095"
"8600000US90201","24940","ZCTA5 90201"
"8600000US90210","9563","ZCTA5 90210"
"8600000US90211","4052","ZCTA5 90211"
